,Feature,Metric,Original,MCAR,Diff,Pct_Change
78,retweeted_status.user.followers_count,75%,130110.0,131416.75,1306.75,1.0
79,retweeted_status.user.followers_count,max,134449985.0,134449985.0,0.0,0.0
80,retweeted_status.user.friends_count,count,8046.0,7627.0,-419.0,5.21
81,retweeted_status.user.friends_count,mean,6100.93,6243.32,142.39,2.33
82,retweeted_status.user.friends_count,std,44380.67,45434.71,1054.04,2.37
83,retweeted_status.user.friends_count,min,0.0,0.0,0.0,
84,retweeted_status.user.friends_count,25%,258.25,258.0,-0.25,0.1
85,retweeted_status.user.friends_count,50%,762.0,758.0,-4.0,0.52
86,retweeted_status.user.friends_count,75%,2018.0,2030.0,12.0,0.59
87,retweeted_status.user.friends_count,max,2021471.0,2021471.0,0.0,0.0
88,retweeted_status.user.listed_count,count,8046.0,7642.0,-404.0,5.02
89,retweeted_status.user.listed_count,mean,3031.57,3052.92,21.35,0.7
90,retweeted_status.user.listed_count,std,14336.44,14477.95,141.51,0.99
91,retweeted_status.user.listed_count,min,0.0,0.0,0.0,
92,retweeted_status.user.listed_count,25%,20.0,20.0,0.0,0.0
93,retweeted_status.user.listed_count,50%,141.0,141.0,0.0,0.0
94,retweeted_status.user.listed_count,75%,934.0,944.25,10.25,1.1
95,retweeted_status.user.listed_count,max,218340.0,218340.0,0.0,0.0
96,retweeted_status.user.favourites_count,count,8046.0,7639.0,-407.0,5.06
97,retweeted_status.user.favourites_count,mean,24064.95,24127.16,62.2,0.26
98,retweeted_status.user.favourites_count,std,61353.57,61441.96,88.4,0.14
99,retweeted_status.user.favourites_count,min,0.0,0.0,0.0,
100,retweeted_status.user.favourites_count,25%,906.0,913.0,7.0,0.77
101,retweeted_status.user.favourites_count,50%,4674.0,4673.0,-1.0,0.02
102,retweeted_status.user.favourites_count,75%,20587.0,20530.5,-56.5,0.27
103,retweeted_status.user.favourites_count,max,1146945.0,1146945.0,0.0,0.0
104,retweeted_status.user.statuses_count,count,8046.0,7643.0,-403.0,5.01
105,retweeted_status.user.statuses_count,mean,38265.56,38139.78,-125.78,0.33
106,retweeted_status.user.statuses_count,std,99826.89,99530.58,-296.31,0.3
107,retweeted_status.user.statuses_count,min,1.0,1.0,0.0,0.0
108,retweeted_status.user.statuses_count,25%,1611.0,1626.0,15.0,0.93
109,retweeted_status.user.statuses_count,50%,8310.0,8336.0,26.0,0.31
110,retweeted_status.user.statuses_count,75%,31091.25,31156.0,64.75,0.21
111,retweeted_status.user.statuses_count,max,1283847.0,1283847.0,0.0,0.0
